Severity,Start_Lat,Start_Lng
2,41.736378,-87.62458000000001
3,41.874142,-87.719757
3,41.962776,-87.746399
2,41.755817,-87.663597
3,41.981133,-87.878822
2,41.783321,-87.649757
2,41.848278,-87.695335
3,41.871821999999995,-87.74166899999999
3,41.9202,-87.674088
2,41.903248,-87.67484300000001
2,41.735962,-87.632675
2,41.837146999999995,-87.623405
2,41.997215000000004,-87.67038000000001
3,41.841087,-87.630989
3,41.729019,-87.624779
2,41.852894,-87.63095899999999
2,41.794388,-87.770721
3,41.823723,-87.630302
3,41.925018,-87.68318199999999
3,41.984241,-87.83669300000001
2,41.953666999999996,-87.72760799999999
3,41.925018,-87.68318199999999
2,41.924728,-87.707176
3,41.875328,-87.701065
3,41.809227,-87.631454
2,41.885754,-87.639832
2,41.946746999999995,-87.68824000000001
2,41.721344,-87.65065799999999
2,41.972916,-87.74793199999999
3,41.910694,-87.66499300000001
2,41.913094,-87.626335
3,41.837391,-87.670197
3,41.879261,-87.64589699999999
2,41.751728,-87.56624599999999
2,41.877224,-87.716476
2,41.765137,-87.649284
3,41.83728,-87.67533900000001
2,41.848221,-87.612549
3,41.686256,-87.60137900000001
3,41.87178,-87.744987
3,41.728889,-87.624779
3,41.867160999999996,-87.644508
3,41.831016999999996,-87.631088
2,41.872310999999996,-87.742508
3,41.941013,-87.71249399999999
3,41.692347999999996,-87.598114
3,41.873531,-87.735199
2,41.945679,-87.786293
3,41.946197999999995,-87.718361
3,41.903488,-87.66109499999999
3,41.903488,-87.66109499999999
2,41.874386,-87.725418
3,41.875328,-87.701065
3,41.953621000000005,-87.73092700000001
3,41.786919,-87.630852
3,41.982594,-87.789963
3,41.962776,-87.746391
2,41.758385,-87.615128
2,41.723022,-87.662743
2,41.778896,-87.707977
2,41.954678,-87.6446
2,41.867283,-87.63924399999999
3,41.946129,-87.718529
3,41.892471,-87.65323599999999
3,41.73584,-87.624573
2,41.940490999999994,-87.638283
2,41.997784,-87.68624100000001
3,41.984241,-87.83669300000001
3,41.660339,-87.588982
3,41.714523,-87.64312
3,41.685425,-87.601822
3,41.735832,-87.624573
3,41.802417999999996,-87.789238
3,41.692347999999996,-87.598114
3,41.876465,-87.645416
3,41.832413,-87.694962
2,41.736191,-87.625443
2,41.913094,-87.626335
3,41.838223,-87.630562
3,41.717113,-87.623756
3,41.962986,-87.746849
2,41.90382,-87.637436
2,41.867256,-87.645134
3,41.881817,-87.645988
3,41.830563,-87.63022600000001
3,41.736061,-87.624985
