Severity,Start_Lat,Start_Lng
3,36.146828,-86.74305
2,36.140518,-86.723648
2,36.177799,-86.786484
2,36.222851,-86.816856
2,36.131248,-86.898071
2,36.141338,-86.822456
2,36.17215,-86.7686
3,36.167389,-86.765671
3,36.140881,-86.732628
2,36.225578,-86.775581
3,36.147945,-86.777611
2,36.131985,-86.895546
2,36.092579,-86.885391
2,36.021069,-86.735893
2,36.10305,-86.666153
2,36.11293,-86.68898
2,36.049511,-86.713768
2,36.053909,-86.898651
2,36.131989,-86.895531
2,36.134441,-86.775246
2,36.15831,-86.771881
2,36.180607,-86.796333
2,36.120831,-86.703537
2,36.18008,-86.81105
2,36.151093,-86.769402
3,36.173454,-86.801003
3,36.140518,-86.723648
2,36.07938,-86.632538
2,36.126068,-86.727821
2,36.209682,-86.871475
2,36.136948,-86.726707
3,36.085911,-86.700035
2,36.152771,-86.770538
2,36.077015,-87.020554
2,36.204571,-86.748398
2,36.134239,-86.779083
2,36.122082,-86.914383
2,36.193512,-86.776749
2,36.075142,-86.864403
2,36.218201,-86.803513
2,36.084808,-86.728142
2,36.074039,-86.935318
2,36.103329,-86.666588
2,36.221699,-86.761681
2,36.081085,-86.758255
3,36.14122,-86.731621
2,36.12801,-86.843018
2,36.170261,-86.772842
3,36.227428,-86.776016
2,36.074219,-86.981552
3,36.167389,-86.765671
2,36.172421,-86.794777
2,36.062859,-86.697121
2,36.197048,-86.68808
2,36.04538,-86.713249
2,36.085911,-86.700035
2,36.180168,-86.745308
2,36.074478,-86.920929
2,36.079601,-86.726471
2,36.151093,-86.769402
2,36.208549,-86.734901
2,36.169842,-86.67598
2,36.213531,-86.687813
2,36.17355,-86.79924
2,36.233589,-86.7248
2,36.141109,-86.627968
2,36.122669,-86.75145
2,36.148022,-86.777122
3,36.147945,-86.777611
2,36.044765,-86.724831
2,36.15757,-86.707153
2,36.153564,-86.788452
2,36.041561,-86.720718
2,36.045719,-86.720802
2,36.148781,-86.666298
3,36.122669,-86.75145
3,36.10191,-86.764221
2,36.125771,-86.765892
3,36.184578,-86.797707
2,36.066158,-86.772072
